I love this weather. Be safe!!	SouthrnBelle18
@_bigplayslay9 Same can't complain, not really enjoying the weather though.	MulanniAiko
I feel like ass today and this ugly weather isn't helping any.	KelseyyMcGee
#Arecibo 81 F at 9757809 - Arecibo, PR http://t.co/aECBJGKr5Q #Weather	TodoTiempo
i am moving to philly	teen_nik
RT @samm_mariie: Nap Weather. 	SydneyMorgaan
Thank you weather for wrecking my birthday weekend plans 	allaboutMEyers
Can't go horseback riding in this weather 	Dimples_or_Die
@lwd2012 #hospitality good. #weather is not affecting #business thankfully. We are very lucky indeed &amp; feel for all those suffering	HorspoolFarm
 RT @naenaeboogie: This weather reminds me of a few people I know. Sometimey	TeairaKiona
RT @NayAdaye: These past couple of days have been the best georgia weather..	Laveee_
This weather makes me want to put on a bathing suit and go get on the lake 	cindypruett1
@bradplumer: historic drought in Brazil has led to a global coffee shortage: http://t.co/ISVwUmdTxV weird global weather effects continue	ckrosinsky
@djdietrich: Nothing's better than bengals patio weather what about @DomAUrso's facial hair ?	dadler_15
[CNN] The week in 26 photos: Deadly and fiery protests, Olympic dreams, dramatic rescues, windy weather. Check... http://t.co/8krAP2YnDg	newszilla
Danny Granger wants out of Philly , lol	Im_Into_Music
What a great evening at the @DionWired surfski challenge, weather played ball for the best conditions of the series so far. @Varsity_College	marineseries
The fact that i have to be at ritas in a half our with this weather&lt;&lt;&lt; #ComeGetYourIceNiggas	mariahschwarz
LOS ANGELES -TODAY'S WEATHER     B E A C H! 	Twaddle_Twit
RT @Saraaawh: This weather ain't holding me back for tonight 	alyssamangino
RT @WhitePplQuote: Finally shorts weather http://t.co/Ten4UdoaZi	BeauTIFulwisdom
The week in 26 photos: Deadly and fiery protests, Olympic dreams, dramatic rescues, windy weather. Check out t... http://t.co/Bed7KWVC9y	QewBeat
"@MyLVHost: I have a love hate relationship with L.A, love the weather &amp; my buddy @bigbadboogie33 hate the traffic. http://t.co/HvW4NIhhPy"	bigbadboogie33
This weather is pretty blessed right now! #BACBIRTHDAYBEHAVIOUR will start at #ONEKINGWEST :)	ItsBigAssCass
The weather&gt;&gt;&gt;&gt;&gt; 	k_kar1698
This weather puts me in such a good mood.	MikeyKPot11
RT @GorgeZipline: How would you prefer to spend your day tomorrow? Curled up indoors or Canon-balling down the zipline?!?!  Weather... http	FloydCoChamber
RT @Wait_NoHickies: New Orleans Has Bipolar Ass Weather	dluchianooo
I'm just tryna go to Fayetteville  but this weather thoooo	youvegotmell_
I'm giving full public credit to @johnmoe for the term "ice murder", which i've been using to describe what the weather tied to do to us.	funkomatic
I would have a get together at my crib with liq and everything but nobody would Prolly come cause of the weather.	LugoPlusVodka
RT @23jordanp: A drop in the ocean, A change in the weather, I was praying that you and me might end up together	bcunningham95
"@Gorillaz0ey: Starving &amp; this weather can goooo":-(	xAmeen_
RT @WhitePplQuote: Finally shorts weather http://t.co/Ten4UdoaZi	MarkCapocasale
Weather all perfect and shit.	Blaq__
RT @CorsageProject: This weather is making us even more excited for the @TOIndieArtsMrkt Spring Extravaganza on March 15 https://t.co/n6W13	TOIndieArtsMrkt
Wow what great weather we have been having.  Great time to search for your new home or get ready to sell your existing home!!!	bfrealtor
RT @BFNotAIIowed: My boyfriend isn't allowed to give a girl his jacket. That hoe knows  damn well what channel the weather is on, she could	Boii_mogale
RT @illuminatai: The weather is confused.	brittanybear101
RT @supkatieex0: I seriously cannot wait for spring weather 	alynilsen
This weather is shitty	Justin_Hodde
RT @TWatchMe_Twerk: This weather right now &lt;	_ForevaHisQUEEN
Warm weather will always be my favorite.!	KeniaMillares
I can't wait for warm weather anymore	leahharris4
Ohh the weather is cold	ScarryWoo
Such nICE weather. Wanna make some cones. Sno badly.	ethanroe
It's about that time to start dieting and working out again. It's almost tank top weather. #TattoosAndTankTops	_iHoop_Brown45
Not only is this the best weather, but it's also melting the snow 	AmandaL0renz
I been so use to Michigan weather that this feel like 80 http://t.co/FHWg8JJGhn	chrissssy__
Call me crazy, but i love this weather	fezzy112
While some of us have been stuck inside, because of the weather, what type of fun activities have you created for... http://t.co/EV3a2fCvwA	HipHmschoolMoms
